Root	SpeakerID	Component	Group	Age	Gender	CEF	DialectRegion	Duration (seconds)	Duration (days)
fn000591	N000224	comp-q	3	18	M		N4a	531.0900	0.006147
fn000594	N000225	comp-q	3	16	M		N4a	550.0986	0.006367
fn000597	N000226	comp-q	3	18	M		N4a	459.2145	0.005315
fn000600	N000227	comp-q	3	17	F		N4a	830.8273	0.009616
fn000603	N000228	comp-q	3	14	F		N4a	551.0342	0.006378
fn000606	N000229	comp-q	3	15	F		N4a	450.1851	0.005210
fn000609	N000230	comp-q	3	14	F		N4a	398.3431	0.004610
fn000612	N000231	comp-q	3	13	M		N4a	381.0116	0.004410
fn000615	N000232	comp-q	3	15	M		N4a	560.3699	0.006486
fn000619	N000233	comp-q	3	13	F		N4a	622.3692	0.007203
fn000622	N000234	comp-q	3	13	M		N4a	671.5540	0.007773
fn000625	N000235	comp-q	3	14	M		N4a	514.5020	0.005955
fn000628	N000236	comp-q	3	12	M		N4a	666.3226	0.007712
fn000631	N000237	comp-q	3	14	F		N4a	403.9163	0.004675
fn000634	N000238	comp-q	3	15	F		N4a	425.3007	0.004922
fn000637	N000239	comp-q	2	12	F		N3b	319.3984	0.003697
fn000639	N000240	comp-q	2	12	F		N3b	383.4299	0.004438
fn000641	N000241	comp-q	2	12	M		N3b	426.8637	0.004941
fn000643	N000242	comp-q	2	12	M		N3b	422.3406	0.004888
fn000645	N000243	comp-q	2	12	M		N3b	346.0158	0.004005
fn000647	N000244	comp-q	2	17	F		N3b	415.1346	0.004805
fn000649	N000245	comp-q	2	16	F		N3b	353.6812	0.004094
fn000651	N000246	comp-q	2	16	F		N3b	354.7934	0.004106
fn000653	N000247	comp-q	2	18	M		N3b	300.8721	0.003482
fn000655	N000248	comp-q	2	13	F		N3b	414.3065	0.004795
fn000657	N000249	comp-q	2	13	F		N3b	357.7041	0.004140
fn000659	N000250	comp-q	2	13	F		N3b	377.4304	0.004368
fn000661	N000251	comp-q	2	13	M		N3b	405.0959	0.004689
fn000663	N000252	comp-q	2	13	M		N3b	326.6532	0.003781
fn000665	N000253	comp-q	2		M		N3b	318.6441	0.003688
fn000667	N000254	comp-q	2	14	F		N3b	322.9704	0.003738
fn000669	N000255	comp-q	2	14	F		N3b	343.2040	0.003972
fn000671	N000256	comp-q	2	18	M		N3b	332.8009	0.003852
fn000673	N000257	comp-q	2	14	M		N3b	319.6860	0.003700
fn000675	N000258	comp-q	2	15	M		N3b	361.5233	0.004184
fn000679	N000259	comp-q	4	31	F	A2	N4a	794.3882	0.009194
fn000682	N000260	comp-q	4	34	M	A2	N4a	454.1541	0.005256
fn000685	N000261	comp-q	4	26	M	B1	N4a	500.9191	0.005798
fn000688	N000262	comp-q	4	29	F	B1	N4a	545.5318	0.006314
fn000691	N000263	comp-q	4	34	F	A2	N4a	710.8059	0.008227
fn000694	N000264	comp-q	4	29	F	A2	N4a	700.0006	0.008102
fn000696	N000265	comp-q	2	13	M		N4a	344.8169	0.003991
fn000698	N000266	comp-q	2	15	M		N4a	381.1007	0.004411
fn000700	N000267	comp-q	2	15	M		N4a	305.1599	0.003532
fn000702	N000268	comp-q	2	15	M		N4a	337.5598	0.003907
fn000704	N000269	comp-q	2	14	M		N4a	336.2374	0.003892
fn000706	N000270	comp-q	2	14	M		N4a	373.5951	0.004324
fn000708	N000271	comp-q	2	16	F		N4a	307.1736	0.003555
fn000710	N000272	comp-q	2	16	F		N4a	359.2691	0.004158
fn000715	N000273	comp-q	2	16	F		N4a	363.3013	0.004205
fn000718	N000274	comp-q	2	16	F		N4a	316.7944	0.003667
fn000722	N000275	comp-q	2	13	F		N4a	373.4504	0.004322
fn000726	N000276	comp-q	2	12	M		N4a	452.4076	0.005236
fn000728	N000277	comp-q	2	12	F		N4a	388.3512	0.004495
fn000730	N000278	comp-q	2	12	M		N4a	385.3127	0.004460
fn000732	N000279	comp-q	2	12	F		N4a	377.3622	0.004368
fn000734	N000280	comp-q	2	14	F		N4a	334.0327	0.003866
fn000736	N000281	comp-q	2	15	F		N4a	290.2596	0.003359
fn000738	N000282	comp-q	2	14	M		N4a	325.3374	0.003765
fn000740	N000283	comp-q	2	13	F		N4a	410.9292	0.004756
fn000745	N000284	comp-q	3	15	M		N4a	481.0907	0.005568
fn000747	N000285	comp-q	3	15	M		N4a	388.9455	0.004502
fn000750	N000286	comp-q	3	17	F		N4a	529.4074	0.006127
fn000752	N000287	comp-q	3	15	M		N4a	451.6976	0.005228
fn000754	N000288	comp-q	3	13	F		N4a	515.8989	0.005971
fn000756	N000289	comp-q	3	14	F		N4a	479.9847	0.005555
fn000758	N000290	comp-q	3	15	F		N4a	529.0781	0.006124
fn000760	N000291	comp-q	3	16	F		N4a	462.4417	0.005352
fn000762	N000292	comp-q	3	16	F		N4a	558.4639	0.006464
fn000764	N000293	comp-q	3	16	F		N4a	559.1436	0.006472
fn000768	N000294	comp-q	3	13	M		N4a	418.4007	0.004843
fn000771	N000295	comp-q	3	16	F		N4a	467.1746	0.005407
fn000773	N000296	comp-q	3	16	F		N4a	705.4608	0.008165
fn000775	N000297	comp-q	3	14	F		N4a	577.6443	0.006686
fn000777	N000298	comp-q	3	15	F		N4a	532.6493	0.006165
fn000779	N000299	comp-q	3	13	F		N4a	830.3535	0.009611
fn000782	N000300	comp-q	3	17	M		N4a	492.9361	0.005705
fn000784	N000301	comp-q	3	14	M		N4a	661.1544	0.007652
fn000789	N000302	comp-q	3	15	M		N4a	526.4999	0.006094
fn000791	N000303	comp-q	3	12	M		N4a	485.3724	0.005618
fn000793	N000304	comp-q	3	13	M		N4a	635.4141	0.007354
fn000795	N000305	comp-q	3	11	F		N4a	527.4120	0.006104
fn000797	N000306	comp-q	3	15	F		N4a	527.6222	0.006107
fn000799	N000307	comp-q	3	13	F		N4a	508.0872	0.005881
fn000801	N000308	comp-q	3	14	M		N4a	517.8991	0.005994
fn000803	N000309	comp-q	3	13	M		N4a	825.0828	0.009550
fn000807	N000311	comp-q	3	15	M		N4a	309.9205	0.003587
fn000809	N000312	comp-q	3	15	M		N4a	457.2987	0.005293
fn000811	N000313	comp-q	3	14	F		N4a	362.3703	0.004194
fn000813	N000314	comp-q	3	14	M		N4a	588.2289	0.006808
fn000815	N000315	comp-q	3	14	M		N4a	490.9750	0.005683
fn000817	N000316	comp-q	3	13	M		N4a	622.3149	0.007203
fn000819	N000317	comp-q	3	15	F		N4a	472.6749	0.005471
fn000821	N000318	comp-q	3	13	M		N4a	679.5436	0.007865
fn000824	N000319	comp-q	4	35	M	A2	N4a	459.2075	0.005315
fn000827	N000320	comp-q	4	45	F	A2	N4a	628.2898	0.007272
fn000830	N000321	comp-q	4	44	F	A2	N4a	463.0122	0.005359
fn000833	N000322	comp-q	4	49	F	A2	N4a	791.2028	0.009157
fn000835	N000323	comp-q	4	55	M	B1	N4a	519.1155	0.006008
fn000838	N000324	comp-q	4	19	F	A2	N4a	771.0699	0.008924
fn000840	N000325	comp-q	4	49	M	B2 	N4a	807.0126	0.009340
fn000842	N000326	comp-q	4	47	F	B1	N4a	551.4647	0.006383
fn000844	N000327	comp-q	4	25	F	A2	N4a	951.3352	0.011011
fn000846	N000328	comp-q	4	27	F	A2	N4a	586.3206	0.006786
fn000848	N000329	comp-q	4	28	F	B1	N4a	696.2859	0.008059
fn000851	N000330	comp-q	4	34	F	A1	N4a	626.1043	0.007247
fn000853	N000331	comp-q	4	44	M	A2	N4a	855.1578	0.009898
fn000855	N000332	comp-q	4	22	M	A2	N4a	671.1437	0.007768
fn000857	N000333	comp-q	4	32	F	B1	N4a	418.2194	0.004841
fn000860	N000334	comp-q	4	26	M	A2	N4a	445.4233	0.005155
fn000862	N000335	comp-q	4	34	F	B1	N4a	484.3537	0.005606
fn000864	N000336	comp-q	4	29	F	A1	N4a	712.6567	0.008248
fn000866	N000337	comp-q	4	47	F	A2	N4a	700.4484	0.008107
fn000868	N000338	comp-q	4	52	F	A2	N4a	779.2198	0.009019
fn000870	N000339	comp-q	4	25	F	A1	N4a	570.7516	0.006606
fn000873	N000340	comp-q	4	20	F	A2	N4a	498.9889	0.005775
fn000875	N000341	comp-q	4	27	F	A1	N4a	531.7020	0.006154
fn000877	N000342	comp-q	4	24	F	B1	N4a	453.7988	0.005252
fn000879	N000343	comp-q	4	37	F	A2	N4a	665.6110	0.007704
fn000881	N000344	comp-q	4	34	M	B1	N4a	767.3370	0.008881
fn000883	N000345	comp-q	4	29	F	A2	N4a	638.8567	0.007394
fn000885	N000346	comp-q	4	40	F	A2	N4a	655.8827	0.007591
fn000887	N000347	comp-q	4	36	M	A1	N4a	796.8086	0.009222
fn000889	N000348	comp-q	4	31	M	A1	N4a	660.9756	0.007650
fn000891	N000349	comp-q	4	42	M	A1	N4a	626.4716	0.007251
fn000893	N000350	comp-q	4	44	M	A1	N4a	636.0884	0.007362
fn100003	N100001	comp-q	5	79	F		N4a	432.7149	0.005008
fn100012	N100004	comp-q	5	65	F		N4a	400.7507	0.004638
fn100015	N100005	comp-q	5	83	M		N4a	369.5889	0.004278
fn100019	N100007	comp-q	5	66	M		N4a	370.1248	0.004284
fn100022	N100008	comp-q	5	89	F		N4a	380.0267	0.004398
fn100029	N100009	comp-q	5	67	M		N4a	373.4545	0.004322
fn100065	N100015	comp-q	5	65	M		N3b	407.3867	0.004715
fn100068	N100018	comp-q	5	68	F		N3b	359.2316	0.004158
fn100072	N100017	comp-q	5	68	F		N3b	416.2495	0.004818
fn100075	N100019	comp-q	5	78	F		N3b	427.0568	0.004943
fn100079	N100020	comp-q	5	75	F		N3b	467.6928	0.005413
fn100084	N100021	comp-q	5	68	F		N1b	386.4318	0.004473
fn100088	N100022	comp-q	5	68	M		N1b	350.9689	0.004062
fn100091	N100023	comp-q	5	82	F		N1b	399.2950	0.004621
fn100094	N100024	comp-q	5	62	F		N1b	417.9978	0.004838
fn100097	N100025	comp-q	5	77	F		N1b	472.5784	0.005470
fn100131	N100029	comp-q	5	76	M		N2c	441.3889	0.005109
fn100135	N100030	comp-q	5	79	F		N2c	474.6867	0.005494
fn100138	N100031	comp-q	5	90	M		N2c	417.8177	0.004836
fn100141	N100032	comp-q	5	85	F		N2c	572.7176	0.006629
fn100151	N100034	comp-q	5	75	M		N3b	426.9192	0.004941
fn100155	N100035	comp-q	5	93	F		N3b	558.5753	0.006465
fn100158	N100036	comp-q	5	85	F		N3b	469.2175	0.005431
fn100164	N100037	comp-q	5	88	F		N3b	590.0294	0.006829
fn100167	N100038	comp-q	5	75	F		N3b	378.8615	0.004385
fn100173	N100039	comp-q	5	70	M		N3b	465.5148	0.005388
fn100178	N100040	comp-q	5	76	F		N3b	396.6147	0.004590
fn100183	N100042	comp-q	5	84	F		N3b	411.8845	0.004767
fn100186	N100043	comp-q	5	78	F		N3b	469.8476	0.005438
fn100189	N100044	comp-q	5	66	M		N3b	373.6710	0.004325
fn100192	N100045	comp-q	5	80	F		N3b	402.5138	0.004659
fn100193	N100041	comp-q	5	78	F		N3b	462.6740	0.005355
fn100202	N100046	comp-q	5	84	F		N1b	357.3777	0.004136
fn100209	N100047	comp-q	5	59	F		N1b	1149.0827	0.013300
fn100213	N100048	comp-q	5	94	M		N4a	526.7869	0.006097
fn100218	N100049	comp-q	5	92	F		N4a	416.5022	0.004821
fn100221	N100050	comp-q	5	84	M		N4a	457.3409	0.005293
fn100224	N100051	comp-q	5	78	F		N4a	407.4195	0.004716
fn100227	N100052	comp-q	5	65	F		N4a	450.7259	0.005217
fn100231	N100053	comp-q	5	68	F		N2c	401.1957	0.004643
fn100234	N100054	comp-q	5	83	M		N2c	512.8791	0.005936
fn100237	N100055	comp-q	5	81	F		N2c	430.7295	0.004985
fn100240	N100056	comp-q	5	88	M		N2c	526.1523	0.006090
fn100244	N100057	comp-q	5	83	M		N2c	392.0870	0.004538
fn100247	N100058	comp-q	5	80	F		N2c	600.7433	0.006953
fn100250	N100059	comp-q	5	67	M		N2c	360.0083	0.004167
fn100254	N100060	comp-q	5	86	M		N2c	458.7708	0.005310
fn100257	N100061	comp-q	5	84	F		N2c	478.3091	0.005536
fn100260	N100062	comp-q	5	88	F		N2c	464.3850	0.005375
fn100263	N100063	comp-q	5	78	F		N2c	391.3897	0.004530
fn100266	N100064	comp-q	5	88	F		N2c	391.9698	0.004537
fn100269	N100065	comp-q	5	90	M		N2c	434.7906	0.005032
fn100272	N100067	comp-q	5	78	M		N4a	532.5383	0.006164
fn100275	N100068	comp-q	5	75	F		N4a	477.0852	0.005522
fn100279	N100069	comp-q	5	85	F		N4a	378.5787	0.004382
fn100283	N100070	comp-q	5	96	F		N4a	967.3946	0.011197
fn100290	N100066	comp-q	5	79	F		N4a	388.3228	0.004494
fn100295	N100072	comp-q	5	92	M		N1b	416.5696	0.004821
fn100298	N100073	comp-q	5	83	F		N1b	445.8638	0.005160
fn100301	N100074	comp-q	5	82	F		N1b	463.2309	0.005361
fn100304	N100075	comp-q	5	91	F		N1b	471.8580	0.005461
fn100307	N100076	comp-q	5	74	M		N1b	446.6779	0.005170
fn100310	N100077	comp-q	5	84	M		N1b	464.6769	0.005378
fn100314	N100078	comp-q	5	78	F		N1b	372.1561	0.004307
fn100317	N100079	comp-q	5	68	F		N1b	363.4586	0.004207
fn100320	N100080	comp-q	5	74	F		N1b	416.1438	0.004816
fn100323	N100081	comp-q	5	74	F		N1b	386.2802	0.004471
fn100327	N100082	comp-q	5	95	M		N1b	582.0976	0.006737
